Address,Price,Link
"Commercial Premises, Kendal Street, Clitheroe, Lancashire, BB7 1PA","Guide Price: £140,000 plus",https://www.pugh-auctions.com/property/35553/
"Queen's Gate, 282 Dedworth Road, Windsor, Berkshire, SL4 4JR","Guide Price: £15,000 plus",https://www.pugh-auctions.com/property/35546/
"Olive Court, North End Road, Yapton, Arundel, West Sussex, BN18 0DU","Guide Price: £10,000 plus",https://www.pugh-auctions.com/property/35545/
"Tiger Inn, Coneythorpe, Knaresborough, North Yorkshire, HG5 0RY","Guide Price: £275,000
to £300,000",https://www.pugh-auctions.com/property/35567/
"6 Priory Road, Sharrow, Sheffield, South Yorkshire, S7 1LW","Guide Price: £300,000
to £325,000",https://www.pugh-auctions.com/property/35505/
"134 Graham Road, Sheffield, South Yorkshire, S10 3GQ","Guide Price: £325,000
to £350,000",https://www.pugh-auctions.com/property/35512/
"Apartment 423, 25 Plaza Boulevard, Liverpool, Merseyside, L8 5SR",N/A,https://www.pugh-auctions.com/property/35610/
"Apartment 523, 25 Plaza Boulevard, Liverpool, Merseyside, L8 5SR",N/A,https://www.pugh-auctions.com/property/35612/
"Land At, Ferrymoor Way, Grimethorpe, Barnsley, South Yorkshire, S72 7BN","Guide Price: £200,000 plus",https://www.pugh-auctions.com/property/35555/
"94 Cross Lane, Crookes, Sheffield, South Yorkshire, S10 1WL","Guide Price: £150,000 plus",https://www.pugh-auctions.com/property/35339/
"369 Bolton Road, Turton, Bolton, Lancashire, BL7 0AZ","Guide Price: £138,000 plus",https://www.pugh-auctions.com/property/35618/
"Greig House, 66 Wilkinson Street, Sheffield, South Yorkshire, S10 2GJ","Guide Price: £500,000
to £525,000",https://www.pugh-auctions.com/property/35613/
"Adjacent To 12 Ashley Lane, Killamarsh, Sheffield, South Yorkshire, S21 1AB","Guide Price: £120,000 plus",https://www.pugh-auctions.com/property/35609/
"24-26 Ormskirk Street, St. Helens, Merseyside, WA10 1BJ",N/A,https://www.pugh-auctions.com/property/35621/
"24 Uganda Street, Bolton, Lancashire, BL3 3JX","Guide Price: £95,000 plus",https://www.pugh-auctions.com/property/35617/
"33 Cullen Street, Liverpool, Merseyside, L8 0QY","Guide Price: £60,000 plus",https://www.pugh-auctions.com/property/35625/
"79 Ladybridge Road, Cheadle Hulme, Cheadle, Cheshire, SK8 5PQ","Guide Price: £495,000 plus",https://www.pugh-auctions.com/property/35627/
"9 Jauncey Street, Bolton, Lancashire, BL3 5PB","Guide Price: £90,000 plus",https://www.pugh-auctions.com/property/35622/
"4 Parkfield Place, Highfield , Sheffield, South Yorkshire, S2 4TH","Guide Price: £125,000 plus",https://www.pugh-auctions.com/property/35615/
"34 Balls Road, Prenton, Merseyside, CH43 5RE","Guide Price: £125,000
to £150,000",https://www.pugh-auctions.com/property/35628/
"5 Melville Road, Kearsley, Bolton, Lancashire, BL4 8JD",N/A,https://www.pugh-auctions.com/property/35554/
"319 Handsworth Road, Handsworth, Sheffield, South Yorkshire, S13 9BP","Guide Price: £120,000 plus",https://www.pugh-auctions.com/property/35620/
"Greensands, Oak Lane, Sevenoaks, Kent, TN13 1UH","Guide Price: £1,000,000 plus",https://www.pugh-auctions.com/property/35506/
"165 & 165a London Road, Sheffield, South Yorkshire, S2 4LH","Guide Price: £125,000 plus",https://www.pugh-auctions.com/property/35616/
"Flat 1, 7 Flamborough Road, Bridlington, East Riding Of Yorkshire, YO15 2HU","Guide Price: £50,000 plus",https://www.pugh-auctions.com/property/35637/
"Car Park Rear Of Il Mulino, 60 Roby Mill, Skelmersdale, Lancashire, WN8 0QQ","Guide Price: £69,000 plus",https://www.pugh-auctions.com/property/35638/
"8 Fountains Avenue, Bolton, Lancashire, BL2 2NZ","Guide Price: £90,000 plus",https://www.pugh-auctions.com/property/35640/
"Land Off Ravenswood Drive, Hindley, Wigan, Lancashire, WN2 2QT","Guide Price: £150,000 plus",https://www.pugh-auctions.com/property/35641/
"Land Between, 33 & 35 Norwood Drive, Brierley, Barnsley, South Yorkshire, S72 9EG",Guide Price: £300 plus,https://www.pugh-auctions.com/property/35642/
"59 Park Villas, Consett, Durham, DH8 7RT","Guide Price: £27,000 plus",https://www.pugh-auctions.com/property/35645/
"25 Cawthorne Grove, Off Todwick Road , Woodseats , Sheffield, South Yorkshire, S8 0NB","Guide Price: £90,000 plus",https://www.pugh-auctions.com/property/35168/
"Garages At Durban Grove, Burnley, Lancashire, BB11 4JN",N/A,https://www.pugh-auctions.com/property/35550/
"Cottages & Land , 54 - 56 High Street, Ecclesfield, Sheffield, South Yorkshire, S35 9XD","Guide Price: £150,000 plus",https://www.pugh-auctions.com/property/35626/
"Building Plot Between 27 -& 29 Burngreave Road, Sheffield, South Yorkshire, S3 9DA","Guide Price: £50,000 plus",https://www.pugh-auctions.com/property/35624/
"473 Queens Road, Sheffield, South Yorkshire, S2 4DR","Guide Price: £125,000 plus",https://www.pugh-auctions.com/property/35629/
"8 Dresden Street, Manchester, Greater Manchester, M40 0AX","Guide Price: £120,000 plus",https://www.pugh-auctions.com/property/35483/
"46 Stamford Street, Millbrook, Stalybridge, Greater Manchester, SK15 3JB",N/A,https://www.pugh-auctions.com/property/35508/
"Brookhill Nursery, Brook Hill, Thorpe Hesley, Rotherham, South Yorkshire, S61 2QF","Guide Price: £130,000 plus",https://www.pugh-auctions.com/property/35643/
"Office Suite, 63-65 Acton House, Scoresby Street, Bradford, West Yorkshire, BD1 5EN","Guide Price: £37,000 plus",https://www.pugh-auctions.com/property/35655/
"9-11 Bolton Road, Worsley, Manchester, Greater Manchester, M28 3AX","Guide Price: £425,000 plus",https://www.pugh-auctions.com/property/35592/
"2 Acton House, Scoresby Street, Bradford, West Yorkshire, BD1 5EN","Guide Price: £23,500 plus",https://www.pugh-auctions.com/property/35659/
"108 Schofield Street, Mexborough, South Yorkshire, S64 9NH","Guide Price: £25,000 plus",https://www.pugh-auctions.com/property/35660/
"106 Schofield Street, Mexborough, South Yorkshire, S64 9NH",N/A,https://www.pugh-auctions.com/property/35661/
"1 Laburnum Street, Haslingden, Rossendale, Lancashire, BB4 5DW","Guide Price: £190,000 plus",https://www.pugh-auctions.com/property/35663/
"19 & 19a High Street, Poole, Dorset, BH15 1AB","Guide Price: £370,000 plus",https://www.pugh-auctions.com/property/35631/
"7 The Hollings, Methley, Leeds, West Yorkshire, LS26 9EJ","Guide Price: £130,000 plus",https://www.pugh-auctions.com/property/35527/
"3 Coleridge Road, Romford, Greater London, RM3 7BD","Guide Price: £395,000 plus",https://www.pugh-auctions.com/property/35636/
"1 Castlefields Lane, Cross Flatts, Bingley, West Yorkshire, BD16 2AE","Guide Price: £99,000 plus",https://www.pugh-auctions.com/property/35666/
"25 Trafalgar Street, Carcroft, Doncaster, South Yorkshire, DN6 8AF","Guide Price: £68,000 plus",https://www.pugh-auctions.com/property/35662/
"91 & 91 A B C & D Chesterfield Road, North Wingfield, Chesterfield, Derbyshire, S42 5LF","Guide Price: £175,000 plus",https://www.pugh-auctions.com/property/35619/
"Flat 11, New Rock, Hindley Road, Westhoughton, Bolton, Lancashire, BL5 2JS","Guide Price: £110,000 plus",https://www.pugh-auctions.com/property/35656/
"41 Beckett Road, Doncaster, South Yorkshire, DN2 4AD","Guide Price: £260,000 plus",https://www.pugh-auctions.com/property/35665/
"296 Gleneagles Road, Sunderland, Tyne and Wear, SR4 9QN","Guide Price: £80,000 plus",https://www.pugh-auctions.com/property/35633/
"121 Froude Avenue, South Shields, Tyne and Wear, NE34 9TG","Guide Price: £55,000 plus",https://www.pugh-auctions.com/property/35632/
"4 & 4a Hibel Road, Macclesfield, Cheshire, SK10 2AB","Guide Price: £46,000 plus",https://www.pugh-auctions.com/property/35672/
